X,Y,OBJECTID,BLOCK_NAME,ZIP_CODE,YEAR,COMMENTS,DATA_SOURCE
-75.228950926039,39.9181013378142,1327,6600 Block of GUYER AVE,19142,2018,,2018 Playstreets Program
-75.2301316123137,39.9191058202658,1328,2600 Block of SHIELDS ST,19142,2018,,2018 Playstreets Program
-75.2277974920015,39.9234478809655,1329,2500 Block of S GROSS ST,19142,2018,,2018 Playstreets Program
-75.2373037171063,39.9543664553441,1330,5700 Block of OSAGE AVE,19143,2018,,2018 Playstreets Program
-75.2256605047198,39.9427587242912,1331,1100 Block of S RUBY ST,19143,2018,,2018 Playstreets Program
-75.2252967679788,39.9406331584984,1332,5400 Block of BELMAR ST,19143,2018,,2018 Playstreets Program
-75.2393599245398,39.9541491195345,1333,5800 Block of ADDISON ST,19143,2018,,2018 Playstreets Program
-75.2150175098268,39.9421984578906,1334,1200 Block of GREYLOCK ST,19143,2018,,2018 Playstreets Program
-75.2388051184312,39.9148946981551,1335,7100 Block of THEODORE ST,19142,2018,,2018 Playstreets Program
-75.2289986228413,39.9544114777572,1336,5300 Block of DELANCEY ST,19143,2018,,2018 Playstreets Program
-75.156514464154,39.9268601945249,1337,600 Block of PIERCE ST,19148,2018,,2018 Playstreets Program
-75.1567030972023,39.9260029305529,1338,600 Block of MC CLELLAN ST,19148,2018,,2018 Playstreets Program
-75.1552158673827,39.925441315469,1339,500 Block of SIGEL ST,19148,2018,,2018 Playstreets Program
-75.1154410170628,39.9885253826235,1340,2100 Block of E BIRCH ST,19134,2018,,2018 Playstreets Program
-75.1268707688399,39.9943087785763,1341,2900 Block of KIP ST,19134,2018,,2018 Playstreets Program
-75.1203151406723,39.9949950081693,1342,3000 Block of HARTVILLE ST,19134,2018,,2018 Playstreets Program
-75.1135443110349,39.9901137863274,1343,2100 Block of E ELKHART ST,19134,2018,,2018 Playstreets Program
-75.1108058188624,39.9873565259315,1344,3000 Block of AGATE ST,19134,2018,,2018 Playstreets Program
-75.1107176221492,39.9952604753219,1345,1900 Block of E MADISON ST,19134,2018,,2018 Playstreets Program
-75.1258451989115,39.9924551001633,1346,2800 Block of ORMES ST,19134,2018,,2018 Playstreets Program
-75.1085910456056,39.9943859100671,1347,3200 Block of JOYCE ST,19134,2018,,2018 Playstreets Program
-75.1099100782317,39.9940573308691,1348,2000 Block of E MADISON ST,19134,2018,,2018 Playstreets Program
-75.1239649446983,40.001825364469,1349,3400 Block of ORMES ST,19134,2018,,2018 Playstreets Program
-75.125866460026,40.0020448008445,1350,3400 Block of ELLA ST,19134,2018,,2018 Playstreets Program
-75.1348337465751,40.003216205993,1351,3400 Block of N 3RD ST,19140,2018,,2018 Playstreets Program
-75.1583181149923,39.9199142639601,1352,600 Block of DURFOR ST,19148,2018,,2018 Playstreets Program
-75.1346082145104,40.0012875857173,1353,200 Block of W CORNWALL ST,19140,2018,,2018 Playstreets Program
-75.1333318781015,40.0014756181349,1354,3300 Block of N PHILIP ST,19140,2018,,2018 Playstreets Program
-75.1145206760321,39.997145019398,1355,800 Block of E HILTON ST,19134,2018,,2018 Playstreets Program
-75.1412176286459,40.0011971509197,1356,600 Block of W TUSCULUM ST,19140,2018,,2018 Playstreets Program
-75.1390301054819,40.0019786258736,1357,500 Block of W CORNWALL ST,19140,2018,,2018 Playstreets Program
-75.1114203707353,39.9881643483236,1358,3000 Block of WEIKEL ST,19134,2018,,2018 Playstreets Program
-75.1370911660321,40.0019649368569,1359,3300 Block of N LAWRENCE ST,19140,2018,,2018 Playstreets Program
-75.1312606748656,40.0009860251209,1360,3300 Block of MUTTER ST,19140,2018,,2018 Playstreets Program
-75.1281326059626,40.0008047923622,1361,3300 Block of N LEE ST,19134,2018,,2018 Playstreets Program
-75.1224773956613,39.9894726332055,1362,1900 Block of E SILVER ST,19134,2018,,2018 Playstreets Program
-75.1165605122866,39.9892514654348,1363,2000 Block of E MONMOUTH ST,19134,2018,,2018 Playstreets Program
-75.1328189747672,39.9984711937368,1364,100 Block of W WISHART ST,19133,2018,,2018 Playstreets Program
-75.1181835496801,39.9913560606842,1365,1900 Block of E MONMOUTH ST,19134,2018,,2018 Playstreets Program
-75.1300757394306,39.9973654259682,1366,3100 Block of HOPE ST,19133,2018,,2018 Playstreets Program
-75.1572964649041,39.9170302019061,1367,2500 Block of S FAIRHILL ST,19148,2018,,2018 Playstreets Program
-75.1588755494122,39.9172270939266,1368,2500 Block of S SHERIDAN ST,19148,2018,,2018 Playstreets Program
-75.1713225113818,40.0487887339292,1369,500 Block of HERMAN ST,19144,2018,,2018 Playstreets Program
