X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.0484224045107,40.0212646374609,156,Frank JG Dorsey Memorial Playground,2_5_YEARS,2018/11/05 00:00:00+00, ,Nearmap 2023
-75.209333430911,39.9473297325052,157,Clarence H Clark Park,5_12_YEARS,, ,Nearmap 2023
-75.1697879039635,39.9804081917902,158,Dr Martin Luther King Jr Recreation Center,5_12_YEARS,2014/01/01 00:00:00+00, ,Nearmap 2023
-75.1124068290235,39.9840720696314,159,Cohocksink Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1908829367219,39.9637241823938,160,James L Wright Playground,2_5_YEARS,, ,Nearmap 2023
-75.1433760313682,40.0159568781276,161,Hunting Park,UNKNOWN,,"In the southern portion of the park, just north of the baseball field",Nearmap 2023
-75.1457457691289,40.0204880796253,162,Wingohocking Park,5_12_YEARS,, ,Nearmap 2023
-75.1282943118005,39.9834203164714,163,Hagert Street Playground,2_5_YEARS,2018/01/01 00:00:00+00, ,Nearmap 2023
-75.1053539618117,40.0147222397883,164,Joseph A Ferko Playground,5_12_YEARS,, ,Nearmap 2023
-75.2262666449686,39.9826230875729,165,Parkside Evans Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.2598754807661,39.9728240267115,166,Samuel Rose Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1763837524587,39.9636333089655,167,Von Colln Field,2_12_YEARS,2018/01/01 00:00:00+00, ,Nearmap 2023
-75.0667836255178,40.0809288457306,168,Verree and Susquehanna Playground,5_12_YEARS,, ,Nearmap 2023
-75.2384321943546,39.940621489952,169,Whitby Avenue Playground,5_12_YEARS,, ,Nearmap 2023
-75.1755356284173,39.9566842802111,170,Coxe Park,2_5_YEARS,, ,Street Smart 2023
-75.1489392117269,40.0397657223049,171,Fanny Kemble Abolitionist Memorial Park,5_12_YEARS,, ,Nearmap 2023
-75.1957170584377,40.0090819602494,172,Inn Yard Park,UNKNOWN,, ,Nearmap 2023
-75.1628581117542,39.9727445527793,173,Stiles Street Play Lot,5_12_YEARS,, ,Nearmap 2023
-75.1960060257518,39.9814167451264,174,Smith Memorial Playground and Playhouse,2_12_YEARS,, ,Nearmap 2023
-75.1776230009895,39.9313612251772,175,Ralph Brooks Park,2_12_YEARS,2015/01/01 00:00:00+00, ,Nearmap 2023
-75.0074970075443,40.1230106170169,176,Daniel Boyle Memorial Recreation Center,2_5_YEARS,, ,Nearmap 2023
-74.9698842918469,40.1028681072158,177,Jim Junod Recreation Center,2_5_YEARS,2012/01/01 00:00:00+00, ,Nearmap 2023
-75.0244879543212,40.1145124102219,178,Tomlinson and Gifford Playground,5_12_YEARS,2020/01/01 00:00:00+00,Installed between 2019 and 2020,Nearmap 2023
-74.9717436632148,40.0964836750076,179,Eileen Fitzpatrick Playground,2_5_YEARS,2022/09/23 11:39:22+00, ,Nearmap 2023
-74.9896057768828,40.095014884249,180,Michael Palmer Playground,2_5_YEARS,2018/01/01 00:00:00+00, ,Nearmap 2023
-74.9891960245704,40.0807754190309,181,Elizabeth M Picariello Playground,2_5_YEARS,2010/01/01 00:00:00+00, ,Nearmap 2023
-74.9742670302927,40.0794936358569,182,Corporal Jimmy OConnor Memorial Playground,2_5_YEARS,2012/01/01 00:00:00+00,Formerly Chalfont Playground,Nearmap 2023
-75.0207818807811,40.0918414954948,183,Officer Robert Hayes Memorial Playground,2_5_YEARS,2020/01/01 00:00:00+00,Installed between 2019 and 2020.,Nearmap 2023
-74.9918853499368,40.0680889260555,184,Thomas Mitchell Playground,2_5_YEARS,2022/06/01 00:00:00+00,Renovated June 2023,Nearmap 2023
-75.0338014700913,40.100051719099,185,William A Lackman Memorial Playground,2_5_YEARS,2014/01/01 00:00:00+00, ,Nearmap 2023
-75.0515367400775,40.0921792980543,186,CCA Baldi School Playground,2_5_YEARS,, ,Nearmap 2023
-75.0673109892457,40.0806571250478,187,Verree and Susquehanna Playground,2_5_YEARS,, ,Nearmap 2023
-75.0823777369154,40.0745683651852,188,Fox Chase Recreation Center,2_5_YEARS,, ,Nearmap 2023
-75.0504564036826,40.0621948837066,189,George C Pelbano Playground,2_5_YEARS,,No Signage. Has a Fence. Swings and Playground Equipment.,Nearmap 2023
-75.0117968259344,40.056254091575,190,Thomas Holme School Playground,2_5_YEARS,2015/01/01 00:00:00+00, ,Nearmap 2023
-75.0024886547919,40.0522643934671,191,George Jacobs Playground,5_12_YEARS,2023/09/01 00:00:00+00, ,"Nearmap 2023; Capital drawings 2023"
-74.9930196975765,40.0420039604468,192,Fish Hatchery at Pleasant Hill Park,2_5_YEARS,, ,Nearmap 2023
-75.0245212126538,40.0481605220755,193,James J Ramp Playground,2_5_YEARS,, ,Nearmap 2023
-75.0209642069797,40.0385671043257,194,Torresdale and Enfield Fields,2_5_YEARS,, ,Nearmap 2023
-75.026648815198,40.0359796820679,195,Holmesburg Recreation Center,2_5_YEARS,, ,Nearmap 2023
-75.0345160790282,40.0299254575374,196,Charles A Russo Playground,2_5_YEARS,2012/01/01 00:00:00+00, ,Nearmap 2023
