objectid,park_name,site_number,table_count,permittable,comments,data_source,lat,lng
168,Rainbow De Colores Playground,0,2,N, ,Nearmap 2023,39.98679562601218,-75.14154365021007
169,Rainbow De Colores Playground,0,1,N, ,Nearmap 2023,39.98695212869186,-75.14187389957593
170,John Dickinson Square,0,3,N, ,Nearmap 2023,39.92778632154709,-75.15187733306979
171,East Poplar Playground,0,5,N, ,Nearmap 2023,39.96663508406296,-75.15126939698875
172,Fishtown Recreation Center,0,5,N, ,Nearmap 2023,39.972016162861344,-75.12778409877778
173,Eileen Fitzpatrick Playground,0,2,N, ,Nearmap 2023,40.096269411064064,-74.97184618055546
174,Ford Road Playground,0,1,N,1 table on path,Nearmap 2023,39.999433554191434,-75.20642556401297
175,Fort Mifflin,0,16,N, ,Nearmap 2023,39.875169025001384,-75.2114557603636
176,Fox Chase Recreation Center,0,5,N, ,Nearmap 2023,40.07417290905007,-75.08250337946154
177,Frankford and Solly Playground,0,1,N, ,Nearmap 2023,40.043988169299716,-75.02094784554629
178,Franklin Square,0,6,N, ,Nearmap 2023,39.95543677941933,-75.15078549744224
179,Franklin Square,0,5,N, ,Nearmap 2023,39.955932706230726,-75.1510492883223
180,Susan Gorgas Park,0,1,N, ,Nearmap 2023,40.036944108060126,-75.22049410337637
181,Thomas I Guerin Recreation Center,0,3,N, ,Nearmap 2023,39.92335470275951,-75.17280860289549
182,Eric W (Hank) Gathers Jr Recreation Center,0,3,N, ,Nearmap 2023,39.98742698720379,-75.1758189156207
183,Eric W (Hank) Gathers Jr Recreation Center,0,2,N, ,Nearmap 2023,39.987590754937834,-75.1747983477085
184,Hawthorne Cultural Center,0,4,N, ,Nearmap 2023,39.93848295450207,-75.16363641435568
185,Nelson M Herron Playground and Recreation Center,0,5,N, ,Nearmap 2023,39.930583778938015,-75.14847690843379
186,Horton Street Play Lot,0,2,N, ,Nearmap 2023,39.96626884446822,-75.24323772574834
187,Inn Yard Park,0,1,N, ,Nearmap 2023,40.009217707747474,-75.19507898623742
188,Kingsessing Recreation Center,0,1,N, ,Nearmap 2023,39.94185807426277,-75.21732708862595
189,Lardners Point Park,0,2,N, ,Nearmap 2023,40.01422427501639,-75.04784659605305
190,Lardners Point Park,0,2,N, ,Nearmap 2023,40.01419736650236,-75.04759466492516
191,Lardners Point Park,0,2,N, ,Nearmap 2023,40.01470715601889,-75.04648421716699
192,John A Lee Cultural Center,0,3,N, ,Nearmap 2023,39.96224879697709,-75.2102763091137
193,Louis I Kahn Park,0,4,N,Fixed tables,Nearmap 2023,39.945111343621896,-75.15998838934148
194,Malcolm X Memorial Park,0,1,Y,Fixed Table,Nearmap 2023,39.9530552227429,-75.22555909667396
195,Mantua Community Garden,0,2,N, ,Nearmap 2023,39.9635481618656,-75.19185431114151
196,Mario Lanza Park,0,2,N,Non-fixed picnic tables.,Nearmap 2023,39.93733007584737,-75.14727912319142
197,Dr Martin Luther King Jr Recreation Center,0,2,N, ,Nearmap 2023,39.980564920883374,-75.16980106535092
198,Max Myers Playground,0,3,N, ,Nearmap 2023,40.03933514017071,-75.07123978228665
199,Mifflin Square,0,3,N, ,Nearmap 2023,39.918984165950846,-75.15670966626399
200,Mount Airy Playground,0,2,N, ,Nearmap 2023,40.0576814926327,-75.18833466719204
201,Mount Airy Playground,0,2,N, ,Nearmap 2023,40.0575971990891,-75.1876291462282
202,Mount Airy Playground,0,1,N, ,Nearmap 2023,40.05766602969325,-75.18802178776397
203,Fish Hatchery at Pleasant Hill Park,0,2,N, ,Nearmap 2023,40.0427638499947,-74.99314760888538
204,Fish Hatchery at Pleasant Hill Park,0,4,N, ,Nearmap 2023,40.04314924920451,-74.99300415106269
205,Hawthorne Cultural Center,0,6,N,Ridgway Park/Pool is considered a park of Hawthorne Cultural Center.,Nearmap 2023,39.93896292679836,-75.16462485574054
206,Charles A Russo Playground,0,2,N, ,Nearmap 2023,40.030142639745335,-75.0343562241594
207,William H (Billy) Markward Memorial Playground,0,3,N, ,Nearmap 2023,39.94781522922052,-75.1833689981312
208,William H (Billy) Markward Memorial Playground,0,6,N, ,Nearmap 2023,39.948070155130296,-75.18308509737362
209,Haddington-Marshall L Shepard Sr Recreation Center,0,11,N, ,Nearmap 2023,39.96689962016928,-75.23440525541662
210,Thomas B Smith Recreation Center,0,2,N, ,Nearmap 2023,39.925920707657305,-75.18699646006574
211,Starr Garden Playground,0,2,N,Non-fixed picnic tables.,Nearmap 2023,39.94268971040786,-75.152770951411
212,Torresdale and Enfield Fields,0,3,N, ,Nearmap 2023,40.03881864019905,-75.02068435737641
213,Triangle Park,0,2,Y, ,Nearmap 2023,39.98353275454204,-75.23178487293102
214,Ernest L Tustin Recreation Center,0,4,N, ,Nearmap 2023,39.982105216041866,-75.24119264457156
215,Vernon Park,0,3,N, ,Nearmap 2023,40.03575469671135,-75.17696331099104
216,Verree and Susquehanna Playground,0,5,Y, ,Nearmap 2023,40.080792246198506,-75.0672262977702
217,Parkside Evans Recreation Center,0,5,N, ,Nearmap 2023,39.98219650488739,-75.22629039443243
